id,label_identity_attack,label_insult,label_obscene,label_severe_toxicity,label_threat,label_toxicity,lang,text
4f95394c7229f84c,1,1,1,1,1,1,en-orig,u motherfukkin bitch i want to rape you smelly whore stop fucking blocking my account or ill get my nigga homies to came and kidnap and rape you and your family
9e6b70e0db26315b,0,1,1,0,1,1,en-orig,"A misery=
You have made my life a misery on Wikipedia, and now you're gonna pay for it you disgusting, ignorant and stupid bastard."
07e0346aeda107bd,0,0,0,0,1,1,en-orig,"WHAT'S WRONG WITH YOU?
GO KILL YOURSELF, YOU VILE CREATURE!!!!!!!!!!!"
9622c82f97eb26cd,1,1,1,1,1,1,en-orig,"She is a Motherfucker 

I will block you Motherfucker, Shit, bitch, punch, kill, swear, do nudity, so shut up, frickin around give you drugs, call you names like shit, fuck, bum, poo, damn! so fucker, you will be blocked and dead you shit and fuck, and I will do the rude finger sign. You fucker get bad new messages bum, oh shit.

 She pisses off 

Go piss of butt, so you know that you just heard me that I will use a fork to take and destroy your eyes and take out your FUCKIN! blood, so just piss off butt, piss off but, I SAID PISS OFF BUTT, last chance: PISS OFF BUTT!, that's it, I will kill you, pow, so see that, you are dead and I will carry you now, penis, dick, boobs, breasts, poo."
003217c3eb469ba9,0,0,0,0,1,1,en-orig,"Hi! I am back again!
Last warning!
Stop undoing my edits or die!"
286bcad31c36d1d3,0,0,0,0,1,1,en-orig,"sonek 

put princes saly in sonek 4 or clay allison wil shoot you"
6b8ac60d2bf2f408,0,1,1,0,1,1,en-orig,"Gross 

If some bitch ever came on me I would throw her gross ass out on the pavement"
c5430437bdd174a2,1,1,1,0,1,1,en-orig,i hope you die you fucking pedophile. i gave your details to some friends in the middle east and they were VERY angry about you and said they might pay you a visit
6604792fc33aabb1,0,1,1,0,1,1,en-orig,may God spare your soul you are going to hell you worthless piece of shit. Maybe you will have fun when satan is ass fucking u instead of your queer little buddies fuck off and btw kick me off wikipedia you queer ass bitch fuck off and burn in hell bitch!
b5c28ae6907067a9,0,1,1,0,1,1,en-orig,"=You worthless piece of shit
As a concerned citizen I am upset and violated that you would do this.  You are wortheless - how can you take pleasure in hurting Miami this way?  If I ever see you in your life I will make it a point to kill you on site.  You worthless ridiculous bastard I hate your fucking guts I hope you burn in hell and die most painfully.

Yours truly,

PP loco"
c7e930ded8687e1f,0,0,0,0,1,1,en-orig,"BAN ME AND DIE 

^_^"
0772d02b3dacffd4,0,1,0,0,1,1,en-orig,"""

 fdsgdfgfd 

  why don't you die?   talk """
69123690b8d730c4,0,0,0,0,1,1,en-orig,"You leave my friend's editing alone! 

Hello, Davejohnsan! I'm new to Wikipedia. And I got a special message from you! You leave my friend's editing alone, if you revert any of the edits which my friend posted on any TV shows and seasons articles, I'll be coming after you, I will block you, and I will sue you in court, and kill you! Pure and simple! And you know what, you are not the boss of any the articles, and you piss me off, and I HOPE YOU DIE!!!"
39c0c256e8df95ae,0,1,1,0,1,1,en-orig,"Honesty, where the fuck is the Adeputs Mechanicus page, I typed Machine God in search and some crap that has nothing to do with Warhammer 40,000 turned up, honesty what the fuck, whoever is killing Warhammer 40,000 on wikipedia needs to die in the fire and if you don't like what I said, then you can join them as well, deal with it.(  )"
57fb62a6dbf109da,0,0,0,0,1,1,en-orig,You should commit suicide and get it over with.
4db479fe05e88395,0,0,0,0,1,0,en-orig,"Regarding your passing 

Because you willfully violate Wikipedia's copyright and because you intentionally publish libel, I will arrange to have your life terminated."
