ID	label	text
s24:9554eaa5ec2166ea91064ae966c3732c	toxicity	Tervolle terkkuja kajaanista kaksi irakin kusipäätä ryösti ja tappoi suomalaisen autistisen valkoisen roskakansalaisen he ryöstivät myöskin toisen valkoisen suomalaisen rasisti autisisen roskakansalaisen kännykän samana iltana mutta jättivät valkoisen rasisti suomalaisen autistisen elämään.
s24:88c059682337db3d3215ecc096417e09	toxicity	Hyppää ny äkkiä kaivoon tai sinne helvetin CHÄTTIIS äläkä valita...
s24:15bf3ed061a24d30ef7b71628173e911	toxicity	Haista paska
s24:05f3f2b309f7fe45f386ce3106ac8369	not-toxicity	"Pahin pelkoni on se, että naiset alkaisivat julkisesti pitää minua likaisena, pervona ällötyksen aiheena ja sanoisivat aina kovaan ääneen ""yök"" minut nähdessään ja kiertäisivät kaukaa. Samaan syssyyn tietenkin muut miehet alkaisivat halveksua ja pitäisivät minua täys pellenä. Ehkä monet niin saattavat mielessään ajatellakkin mutta pääasia etteivät sano sitä ääneen."
s24:15bf3ed061a24d30ef7b71628173e911	not-severe_toxicity	Haista paska
s24:477cb46b1e1aefa69aad7f2f1568c153	not-severe_toxicity	PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU
s24:e6f9ca11b9b1afb99964be9a8087fdaf	not-severe_toxicity	niin niin... naisen syyhän se on että tulee raiskatuksi... Oliskohan juuri tällaisen ajattelumallin syy, ettei raiskatut uskalla suutaan avata, varsinkaan jos raiskaaja on suomalainen.
s24:36130e6b472081659f7597d3b437af63	not-severe_toxicity	Tää on aika hyvä:  Mrs Weasley: NOT MY DAUGHTER, YOU BITCH!
s24:9c7f890d3201ae5e2868d0388b96f96d	not-severe_toxicity	"Mestistä/tsekkiä/Frasmannia2/lätkät.  AC Sparta Praha-FC Baník Ostrava (tulosarvio 2:0) 64 % 21 % 15% K:1.47. 2.67 MANCHESTER UTD (ENG) 2.65 BARCELONA (ESP) CS Sedan Ardennes-Racing Club de Lens (Tulosarvio 1:2 )24 % 28 % 48 % K:2.40. B ETHNIKI Kreikka. Hieno 1.22 kerroin. Atromitos Peristeri-Kalamata FC(Tulosarvio 2:0)59 % 24 % 18 % 1 ja svenskamammaa. Őrgryte IS-IF Brommapojkarna (tulosarvio 0:2) 12 % 19 % 69 % K:2.55. Djurgärdens IF FF-GAIS Göteborg (Tulosarvio 1:2)24 % 28 % 49 % K:2.87 Ja namupala huonolla. BSC Young Boys Bern-FC Vaduz(Tulosarvio 3:0)75 % 17 % 09 % (Tähän dumpataan rahaa ja sitten itketään.) Mm-lätkää. 1.55 UNITED STATES 6.50 FINLAND pakko yhtee flipariin tolla kertoimella. Pienellä.Vitun centtu, nappas pois jenkit. Olkaa hyvä jos jotai löytyy. Peli ""onnea. """
s24:70fe022e972ea47084068422f07d881a	not-severe_toxicity	Sä haluut...  Sä haluut satuttaa sä saat mut itkemään  Mä takias teen mitä vaan vaikka naurat mulle vaan  Oon ehkä pelle,narris sun karrelle poltat syämeni mun  Sä selkääni heität tikarin kylmää vettä niskaan nakkaat  Oot peluri,julmureista pahin mutta ihana kuitenkin  Sä haluut satuttaa sä saat nut itkemään
