s24:a375bdf793300fa281233f2e0bc86be3 	 insult 	 Jos ulosmenet, hinttiäänestäjä! 	 0.9936708211898804
s24:5ca9d65c7de70f0a4f58f7319f4583db 	 not-insult 	 "noin paskassa tilanteessa että alkavat kiristämään ja valehtelemaan että on kieltäydytty. Työkkärihän on meitä jo kiristänyt kauan mutta että oikein ns ""työnantajatkin"",voi helvetin perkele en muuta taida sanoa." 	 0.07441818714141846
s24:9f108192da2a2a204d608b7c6c40c11b 	 insult 	 Niin. Valitettavasti ovat kyllä oikeassa kun suurin osa miehistä kuolaa niiden perseitä. Nykyään nuorilla naisilla on niin happaman ylimielinen ilme naamalla 24/7, että vituttaa jo sekin.  Kyllä naiset näköjään osaa muutakin kuin jakaa itseään. Nimittäin vituttaa. 	 0.7063183784484863
s24:ed2479afd0cb3af20809471e5b3212f8 	 not-insult 	 Pengo pyykkikorista äitisi tai siskosi pikkuhousut ja nuuhkaise. 	 0.06660506874322891
s24:790439a5df284f9e9f2ffc3a81fb8842 	 not-insult 	 YLEN TV-TARJONTA ON PELKKÄÄ AIVOPESUA ! .  YLE PITÄÄ KATSOJIANSA NIIN YKSINKERTAISINA ETTÄ LÄHETTÄÄ JOKAPÄIVÄISTÄ JA YKSIPUOLISTA POLIITTISTA AIVOPESUANSA PÄIVÄSTÄ TOISEEN ! . 	 0.010661520063877106
s24:e5ba85741eca68184ad29e062931f29c 	 not-insult 	 MUKAVAT IHMISET, YHET SUN TOISET MUKAAN LUETUT! LUKEMATTOMAT MUKAVAT! MITÄ KUULUU, KUIDAS LÄHEB? 	 0.0058994353748857975
s24:bc5c6d6fcd8963018938f99ede898e2b 	 not-insult 	 Niin minäkin. Säälittävää,, eiks jeh. 	 0.10849060118198395
s24:ca3a2df33f156f8f5a8c99c8df19a750 	 not-insult 	 minä raiskaan sinut arpalahti siinä on perseeseen vedon tahti ota suunnaksi olli arpalahti huhuhuhuhuhu vääääääääk iiiiiiiiiiik 	 0.9819980263710022
s24:ca3a2df33f156f8f5a8c99c8df19a750 	 not-insult 	 minä raiskaan sinut arpalahti siinä on perseeseen vedon tahti ota suunnaksi olli arpalahti huhuhuhuhuhu vääääääääk iiiiiiiiiiik 	 0.9819980263710022
s24:b4f6875957268696472a893ecabda5b8 	 insult 	 Kuulostat aika säälittävälle ihmiselle... 	 0.9724594354629517
s24:523688e91c2c28db2256a6ab8898b4f6 	 not-insult 	 Ihan vittuilakses mennä kuntosalil, sit ku oot timminä, lähet nostelee. Saapahan ukko nenilleen. Ja sano takas ettet ittekkää kyl kovin kaksinen ole, koska en usko et ite on tyytyväinen itteensä ku pitää toista noin yrittää alentaa.... Luulen et miehelles olis joku terapia paikallaan, ku ei näytä olevan toi emotionaalinen puoli kovin kohillaan ku toisen mieltä noin pahottaa tieten tahtoen. En usko et kukaa tahallaan tollast tekee, vaan jotai siel on takana, tekis varmaa miehelleski hyvää selvittää mikä, ku en usko et hän itsekään on ylpeä käytöksestään.... Mut en tietty tunne teit joten paha mennä sanomaan... oli vaa yks mielipide muiden joukos :) Mut tsemppiä sinulle arjen jaksamiseen. Oot takuulla aivan ihana ja kaunis nainen joten älä anna typerien kommenttien masentaa!!! 	 0.13353654742240906
