['s24:bfa2877e5554e7400e808581f470a43b', 'not-threat', 'Saas nähdä kauanko saavat tappaa meitä vääräuskoisia eurooppalaisia koiria, kunnes herätys tapahtuu.']
['s24:0bf9c2c5322a922866ff4eb4baf5ccf2', 'not-threat', 'Ottaisit kovaa kiinni ranteista, painaisit mut allesi liikkumattomaksi, levittäisit polvillasi mun jalkani, purisit mua kaulasta niin että multa melkein loppuis happi... Voi mä haluisin sua niin kovasti... Ja sitten sä..']
['s24:48768de1c3a0e5979c32d6a1b41b1918', 'not-threat', 'En ole sanonut ketään pedofiiliksi enkä resuperseeksi.  Kusipäiksi ja maijoiksi kutsun jokaista tälle palstalle hutsuttelevaa ja mielisairaalatasoista tekstiä kirjoittavia, kuten myös uhkailijoita.  Sinua tällä perusteella kutsun kusipääksi ja maijaksi, täsmälleen samalla oikeudella kuin te Pattayan rakkaat kusipäät olette päätynyt kutsumaan minua varsin monella nimellä ja huorittelemaan vaimoani.  Revi siitä 🐒 ja kuole tavallas.']
['s24:ca3a2df33f156f8f5a8c99c8df19a750', 'threat', 'minä raiskaan sinut arpalahti siinä on perseeseen vedon tahti ota suunnaksi olli arpalahti huhuhuhuhuhu vääääääääk iiiiiiiiiiik']
['s24:b5cb0bc1f2c0fd25946ecf098d1abf54', 'threat', 'Saatanan arpalahti tämäkin on sun syytä perkeleen akentti moven lahtari hotun vimo runkkari karirun pomppeli homppeli hyi mut ai elin tänne niin nylkytän sut henkiltä']
['s24:574314596c8df634a0a9101b3d90b341', 'not-threat', 'Mä tiedän miten ne saa laitat bensaa niihi tarroihi sitte sytytät ja laitat bensatankkiin tulitikun nii sitte ne lähtee ja siin samal sä kuolet']
['s24:77c45e3be4e45f9bebe38f9a3fb80b1e', 'not-threat', 'tekis mieli tappaa hanhet ku ne paskoo päälle  Lähteekö niiltä henki pienoiskiväärillä vai tartteeko tehokkaampaa tykkiä? Kokemuksia?']
['s24:b4f441c2edf24c85d00d4b527fa6d560', 'not-threat', 'Miksi haluat tappaa lapsesi.']
['s24:0059c1bb7458570a8edc945334d41c52', 'not-threat', '"sinä saat turpiin ""edustamsi perheväkivallan"" takia, niin ehkä tajuat, missä on menty metsään."']
['s24:539cefa39781b033bd057053354ab50b', 'not-threat', 'Juu ostan ranskikset jatkossa muualta tai näännyn nälkään']
['s24:f3892c0542909e1fbe52d8bacb7b2690', 'not-threat', 'oisit lyöny itsellesi sen veiten kitusiisi senkin matu!!!! (kirjoituksesi paljastaa sinut: vuotiaasta pojalta)']
['s24:b8e991a087be7ac10da9a344929dbe64', 'not-threat', 'kuolla eikä runkata.']
['s24:1b4471747a9ee2a62b9c3a7ff569e8d8', 'not-threat', 'Tee itselles vaikka hirttoköysi!']
